,author_id,public_metrics,text,created_at,id
18,10671232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",@carlosmdh @HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @GuillermoDeHaro @TheBridge_Tech https://t.co/Ig6QQ9fk47,2022-06-29T19:16:35.000Z,1542225533546762243
19,40046861,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Te me tienes que cuidar ehhhh

y por cierto, colleja por venir a Madrid, hacer un podcast en directo y no avisarme

Capullo!!!
🤣🤣🤣🤣",2022-06-29T19:16:03.000Z,1542225403242332161
20,1255794072280842240,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",@carlosmdh @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Yes!! ;) ;),2022-06-29T19:12:24.000Z,1542224482710028291
21,40046861,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech El segundo por la derecha de la primera fila es mikki?,2022-06-29T19:10:52.000Z,1542224097089822726
22,1437833350732034050,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",No todo va a ser trabajar!! Equipo UCuber #TheBridge @TheBridge_Tech  #FullStack #javascript30 https://t.co/u6K9rWwoqb,2022-06-29T18:09:38.000Z,1542208686881390592
23,1255794072280842240,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 23, 'quote_count': 3}",El sentido de la vida ya no es 42 -- Light Mental edición especial @TheBridge_Tech https://t.co/z7hOVln8Bp,2022-06-29T18:00:06.000Z,1542206287915585536
24,3319318173,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 9, 'quote_count': 1}","We had a great time yesterday at #TechTalks, talking to all the motivated and ambitious students from the CEU Cardenal Herrera in #Valencia🙌

Our #IoT #business #vision and our solution/ front-end development were the main topics💪

Thank you @TheBridge_Tech! 
🚀🚀🚀 https://t.co/cqTiiRyEkA",2022-06-29T14:22:55.000Z,1542151630128381953
25,3175666499,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#Atitlan invierte en una una ronda de financiación de 5 millones de euros en @TheBridge_Tech  https://t.co/7eN3zLMYpg a través de @elEconomistaes,2022-06-29T12:34:08.000Z,1542124257114734595
26,1434890317640126469,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",@fernandojsg @HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Y queremos.,2022-06-28T19:02:45.000Z,1541859665570664448
27,144581964,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 1}",@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Mens sana in corpore sano https://t.co/PJJ7Eg0KPQ,2022-06-28T18:24:37.000Z,1541850071456792578
